"","20634274.G","24664996.G","35592862.G","55583441.G","21000216.G","24073245.G","1797756.G","17260313.G","94549523.G","38056377.G"
"ENSG00000165655",0.11791,2.43191,1.9392,0.435846,0,0.693428,1.59832,1.10066,1.04597,2.19263
"ENSG00000270143",3.16375,0,3.4821,5.09148,0,7.62805,3.68861,5.68998,0,7.29346
"ENSG00000263654",0,0,0,0,0,0,0,0,0,1.22871
"ENSG00000160818",37.7493,22.385,36.56,57.3673,31.8429,34.6676,35.5753,26.9754,40.6386,21.0776
"ENSG00000230210",0.362925,0.433877,0.522088,0.484201,0,0.147347,0.388498,0.0830416,6.71948,0.216427
"ENSG00000214046",59.0142,81.3806,70.1388,71.8317,92.3503,102.885,69.2341,87.7049,58.1244,50.9244
"ENSG00000243518",0,0,0,0,0,0,0,0,0,0.19902
"ENSG00000225314",0,8.13898,1.44225,7.42081,0,0,0.896471,0.960618,0,0.635323
"ENSG00000196236",7.26836,22.8437,12.4013,21.4193,0.390042,11.1489,9.92966,12.8443,1.15392,5.97586
"ENSG00000269220",2.9775,1.01841,5.39234,10.5515,0,7.40355,3.69348,9.67753,2.50845,0.808208
"ENSG00000048140",7.03149,10.9328,10.6174,8.42693,0,8.16207,9.27316,4.04077,4.0929,11.4085
"ENSG00000271600",0,0,0,0,0,0,0,0,0,2.19123
"ENSG00000239415",0.685104,3.66775,3.32401,1.52178,1.80152e-258,2.75309,2.50802,3.45061,0,1.99142
"ENSG00000226308",0,0,0.145013,0,0.221027,0.161975,0.352519,0,29.3496,0
"ENSG00000119927",0.640843,3.13056,1.83931,2.2591,0.46564,2.69694,2.66418,5.10651,28.6458,1.34482
"ENSG00000221530",0,0,0,0,0,0,0,0,0,0
"ENSG00000259358",0,0,0.0615033,0,0,0.0690465,0,0.149142,19.2538,0.322463
"ENSG00000234576",0,0,0,0,0,0,0,0,0,0
"ENSG00000008130",8.59439,8.54369,23.3873,50.7698,5.29659,27.2584,14.0246,20.0791,4.82436,21.3754
"ENSG00000254060",0.377082,3.84333,4.16092,4.24305,0,0.915048,1.53801,0.56254,0,0
"ENSG00000261833",0,0,0,0,0,0,0,0,0,0
"ENSG00000221493",0,0,0,0,0,0,0,0,0,0
"ENSG00000264378",0,0,0,0,0,0,0,0,0,0
"ENSG00000226441",0,2.77768,0,0,0,4.05517,1.57649,4.95703,0,0
"ENSG00000229120",0.997751,0,1.08697,0,0,0,0,0.715609,5.31187,0.47469
"ENSG00000252893",0,0,0,0,0,0,0,0,0,0
"ENSG00000225831",0,0,0,0,0,2.44972,0.694253,0,0,0.496791
